Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms)
11:15:00.000Z,11:30:00.000Z,18.184894561767578,,,,,,,,,,,,0,,,,79836,,
11:30:00.000Z,11:45:00.000Z,59.13013458251953,542.3455200195312,,,,,,,,,,,777,,,,292555,607445,
11:45:00.000Z,12:00:00.000Z,29.937145233154297,78.52297973632812,,,,,,,,,,,472,,,,203753,174351,
12:00:00.000Z,12:15:00.000Z,18.184894561767578,,,,,,,,,,,,114,,,,602103,,
12:15:00.000Z,12:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
12:30:00.000Z,12:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
12:45:00.000Z,13:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
13:00:00.000Z,13:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
13:15:00.000Z,13:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
13:30:00.000Z,13:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
13:45:00.000Z,14:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
14:00:00.000Z,14:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
14:15:00.000Z,14:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
14:30:00.000Z,14:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
14:45:00.000Z,15:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
15:00:00.000Z,15:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
15:15:00.000Z,15:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
15:30:00.000Z,15:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
15:45:00.000Z,16:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
16:00:00.000Z,16:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
16:15:00.000Z,16:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
16:30:00.000Z,16:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
16:45:00.000Z,17:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
17:00:00.000Z,17:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
17:15:00.000Z,17:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
17:30:00.000Z,17:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
17:45:00.000Z,18:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
18:00:00.000Z,18:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
18:15:00.000Z,18:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
18:30:00.000Z,18:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
18:45:00.000Z,19:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
19:00:00.000Z,19:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
19:30:00.000Z,19:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
19:45:00.000Z,20:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
20:00:00.000Z,20:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
20:15:00.000Z,20:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
20:30:00.000Z,20:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
20:45:00.000Z,21:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
21:00:00.000Z,21:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
21:15:00.000Z,21:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
21:30:00.000Z,21:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
21:45:00.000Z,22:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
22:00:00.000Z,22:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
22:15:00.000Z,22:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
22:30:00.000Z,22:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
22:45:00.000Z,23:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
23:00:00.000Z,23:15:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
23:15:00.000Z,23:30:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
23:30:00.000Z,23:45:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
23:45:00.000Z,00:00:00.000Z,18.184894561767578,,,,,,,,,,,,,,,,900000,,
