Start time,End time,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Meditating duration (ms)
10:30:00.000Z,10:45:00.000Z,68.25638580322266,1061.43701171875,,,,51.02595901489258,3.7103519439697266,51.03432846069336,3.713125705718994,,,,141,,,,673758,,,
10:45:00.000Z,11:00:00.000Z,28.64931297302246,200.6399383544922,,,,51.035797119140625,3.710326910018921,51.03596496582031,3.710498809814453,,,,183,,,,72156,,70953,742161
11:00:00.000Z,11:15:00.000Z,18.39322853088379,,,,,50.999935150146484,3.6573591232299805,51.035614013671875,3.7102773189544678,,,,,,,,,,,
11:15:00.000Z,11:30:00.000Z,18.39322853088379,,,,,50.87018585205078,3.6234335899353027,50.95726776123047,3.642854928970337,,,,,,,,,,,
11:30:00.000Z,11:45:00.000Z,55.76219177246094,1464.1561279296875,,,,50.85103225708008,3.5993385314941406,50.86135482788086,3.602417230606079,,,,531,,,,168907,99089,358930,
11:45:00.000Z,12:00:00.000Z,70.1060562133789,1918.719482421875,,,,50.87149429321289,3.5791146755218506,50.87202072143555,3.58042049407959,,,,11,,,,698751,201249,,
12:00:00.000Z,12:15:00.000Z,18.39322853088379,,,,,,,,,,,,,,,,,900000,,
12:15:00.000Z,12:30:00.000Z,29.698163986206055,73.37059020996094,,,,50.87201690673828,3.5791146755218506,50.87201690673828,3.5792105197906494,,,,304,,,,,736835,163165,
12:30:00.000Z,12:45:00.000Z,18.393226623535156,,,,,50.87201690673828,3.5792105197906494,50.87201690673828,3.5792105197906494,,,,,,,,,900000,,
12:45:00.000Z,13:00:00.000Z,18.393226623535156,,,,,,,,,,,,,,,,,900000,,
13:00:00.000Z,13:15:00.000Z,18.393226623535156,,,,,50.87201690673828,3.5791146755218506,50.87201690673828,3.5792105197906494,,,,,,,,,900000,,
13:15:00.000Z,13:30:00.000Z,18.393226623535156,,,,,50.87197494506836,3.5790717601776123,50.872100830078125,3.57922101020813,,,,42,,,,,900000,,
13:30:00.000Z,13:45:00.000Z,18.393226623535156,,,,,,,,,,,,,,,,,900000,,
13:45:00.000Z,14:00:00.000Z,18.393226623535156,,,,,,,,,,,,,,,,,900000,,
14:00:00.000Z,14:15:00.000Z,18.393226623535156,,,,,,,,,,,,,,,,,900000,,
14:15:00.000Z,14:30:00.000Z,18.393226623535156,,,,,,,,,,,,,,,,,900000,,
14:30:00.000Z,14:45:00.000Z,18.393226623535156,,,,,,,,,,,,,,,,,900000,,
